,o,h,l,c,stateFeature_0,stateFeature_1,stateFeature_2,stateFeature_3,reward,totalReward,simNum,eventFlag,stopFlag,barNum,nTrades,tradeOpen,accountValue,accountBalance,unrealizedPL,allPL,positionStatus,positionSize,entryPrice,exitPrice,action,predValueAction_0,predValueAction_1,predValueAction_2,predValueAction_3,predValueAction_4,predValueAction_5
24,0.9947073157777487,0.9987720990962469,0.9947073157777487,0.9987720990962469,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,24.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,1.0,1.576303482055664,1.7890101671218872,1.720840573310852,1.5617897510528564,1.484580636024475,1.6969166994094849
25,0.9990929956305926,1.000185441682224,0.9971959638518123,1.000185441682224,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,25.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,1.0,1.576303482055664,1.7890101671218872,1.720840573310852,1.5617897510528564,1.484580636024475,1.6969166994094849
26,1.0010428579815778,1.0036339152599523,1.0002740894284672,1.0036339152599523,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,26.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,0.0,1.5553539991378784,1.7505221366882324,1.732028841972351,1.5933440923690796,1.6258524656295776,1.7416372299194336
27,1.0042818052526894,1.0065579004754002,1.0037317507086823,1.0065579004754002,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,27.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,0.0,1.5553539991378784,1.7505221366882324,1.732028841972351,1.5933440923690796,1.6258524656295776,1.7416372299194336
28,1.0046453587458732,1.008858380161209,1.0046453587458732,1.008858380161209,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,28.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,5.0,1.5553539991378784,1.7505221366882324,1.732028841972351,1.5933440923690796,1.6258524656295776,1.7416372299194336
29,1.0077004967371708,1.0094745674708614,1.0076091012214285,1.0077350659072435,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,29.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,2.0,1.5553539991378784,1.7505221366882324,1.732028841972351,1.5933440923690796,1.6258524656295776,1.7416372299194336
30,1.009174725255793,1.0103897061925258,1.0078816251250133,1.0103897061925258,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,30.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,3.0,1.5553539991378784,1.7505221366882324,1.732028841972351,1.5933440923690796,1.6258524656295776,1.7416372299194336
31,1.00958220233011,1.0105923522773903,1.008947489769008,1.008947489769008,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,31.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,5.0,1.4773402214050293,1.5478461980819702,1.5723716020584106,1.4898134469985962,1.4791768789291382,1.5986359119415283
32,1.0098007087289254,1.0114954850858673,1.0092314163822276,1.0092314163822276,1.0,0.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,32.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,1.0,1.4773402214050293,1.5478461980819702,1.5723716020584106,1.4898134469985962,1.4791768789291382,1.5986359119415283
33,1.0104050858857692,1.012062615352633,1.0076898367853016,1.0076898367853016,1.0,1.0,0.0,0.0,0.0,0.005690312776992088,3.0,0.0,0.0,33.0,2.0,False,502.822307771243,502.822307771243,0.0,2.822307771243004,0.0,0.0,,,5.0,1.3887676000595093,1.3552647829055786,1.3831404447555542,1.3845018148422241,1.4127506017684937,1.351058006286621
